,y,ordToday,homeToday,awayToday,MHOrd,MAOrd,MHLoc,MALoc,MHRes,MARes,AvgH,AvgD,AvgA,y_H1,ord_H1,home_H1,away_H1,FTHG_H1,FTAG_H1,FTR_H1,HTHG_H1,HTAG_H1,HTR_H1,HS_H1,AS_H1,HST_H1,AST_H1,HF_H1,AF_H1,HC_H1,AC_H1,HY_H1,AY_H1,HR_H1,AR_H1,AvgH_H1,AvgD_H1,AvgA_H1,y_H2,ord_H2,home_H2,away_H2,FTHG_H2,FTAG_H2,FTR_H2,HTHG_H2,HTAG_H2,HTR_H2,HS_H2,AS_H2,HST_H2,AST_H2,HF_H2,AF_H2,HC_H2,AC_H2,HY_H2,AY_H2,HR_H2,AR_H2,AvgH_H2,AvgD_H2,AvgA_H2,y_H3,ord_H3,home_H3,away_H3,FTHG_H3,FTAG_H3,FTR_H3,HTHG_H3,HTAG_H3,HTR_H3,HS_H3,AS_H3,HST_H3,AST_H3,HF_H3,AF_H3,HC_H3,AC_H3,HY_H3,AY_H3,HR_H3,AR_H3,AvgH_H3,AvgD_H3,AvgA_H3,y_A1,ord_A1,home_A1,away_A1,FTHG_A1,FTAG_A1,FTR_A1,HTHG_A1,HTAG_A1,HTR_A1,HS_A1,AS_A1,HST_A1,AST_A1,HF_A1,AF_A1,HC_A1,AC_A1,HY_A1,AY_A1,HR_A1,AR_A1,AvgH_A1,AvgD_A1,AvgA_A1,y_A2,ord_A2,home_A2,away_A2,FTHG_A2,FTAG_A2,FTR_A2,HTHG_A2,HTAG_A2,HTR_A2,HS_A2,AS_A2,HST_A2,AST_A2,HF_A2,AF_A2,HC_A2,AC_A2,HY_A2,AY_A2,HR_A2,AR_A2,AvgH_A2,AvgD_A2,AvgA_A2,y_A3,ord_A3,home_A3,away_A3,FTHG_A3,FTAG_A3,FTR_A3,HTHG_A3,HTAG_A3,HTR_A3,HS_A3,AS_A3,HST_A3,AST_A3,HF_A3,AF_A3,HC_A3,AC_A3,HY_A3,AY_A3,HR_A3,AR_A3,AvgH_A3,AvgD_A3,AvgA_A3
0,1,738044,Freiburg,FC Koln,0,0,0,0,0,0,2.14,3.7,3.25,0,738030,Stuttgart,Freiburg,2,3,A,2,3,A,17,14,7,7,10,14,8,5,2,1,0,0,2.23,3.53,3.22,3,738023,Freiburg,Dortmund,2,1,H,1,0,H,8,19,4,2,14,14,0,10,1,4,0,0,5.5,4.59,1.55,1,738016,Bielefeld,Freiburg,0,0,D,0,0,D,10,14,4,6,13,10,4,9,3,4,0,0,2.92,3.27,2.52,3,738030,FC Koln,Bochum,2,1,H,0,0,D,21,10,5,1,11,21,5,5,2,1,0,0,1.88,3.73,4.11,3,738024,Bayern Munich,FC Koln,3,2,H,0,0,D,18,10,6,3,14,10,3,4,1,1,0,0,1.13,9.35,19.76,3,738017,FC Koln,Hertha,3,1,H,1,1,D,15,11,5,5,18,14,4,5,4,2,0,0,2.57,3.34,2.8
1,0,738044,Greuther Furth,Wolfsburg,0,0,0,0,0,0,5.52,4.29,1.59,3,738030,Mainz,Greuther Furth,3,0,H,2,0,H,17,8,9,1,21,14,7,4,2,2,0,0,1.71,3.97,4.9,1,738023,Greuther Furth,Bielefeld,1,1,D,0,1,A,20,9,5,2,12,15,5,0,4,2,0,1,2.57,3.39,2.77,3,738016,Stuttgart,Greuther Furth,5,1,H,2,0,H,30,8,15,4,11,8,9,2,0,1,0,0,1.86,3.9,3.98,3,738031,Wolfsburg,RB Leipzig,1,0,H,0,0,D,8,12,2,2,13,18,7,7,4,2,0,0,3.46,3.55,2.11,0,738023,Hertha,Wolfsburg,1,2,A,0,0,D,12,12,4,3,12,21,4,4,1,2,0,0,3.06,3.44,2.33,3,738016,Wolfsburg,Bochum,1,0,H,1,0,H,21,7,9,1,9,7,5,2,0,2,0,1,1.57,4.37,5.63
2,0,738044,Hoffenheim,Mainz,0,0,0,0,0,0,2.03,3.8,3.46,3,738029,Dortmund,Hoffenheim,3,2,H,0,0,D,23,9,13,5,9,12,4,7,2,3,0,0,1.44,5.23,6.51,1,738024,Hoffenheim,Union Berlin,2,2,D,2,1,H,7,11,3,8,8,11,6,5,1,3,0,1,2.06,3.58,3.58,0,738016,Augsburg,Hoffenheim,0,4,A,0,1,A,7,15,0,8,8,9,6,5,1,2,0,0,3.19,3.68,2.17,3,738030,Mainz,Greuther Furth,3,0,H,2,0,H,17,8,9,1,21,14,7,4,2,2,0,0,1.71,3.97,4.9,3,738023,Bochum,Mainz,2,0,H,1,0,H,9,16,5,3,15,19,2,7,4,3,0,0,2.66,3.51,2.6,3,738017,Mainz,RB Leipzig,1,0,H,1,0,H,7,15,2,2,10,8,5,11,1,2,0,0,8.07,5.44,1.35
3,0,738044,Leverkusen,Dortmund,0,0,0,0,0,0,3.11,3.84,2.17,0,738030,Augsburg,Leverkusen,1,4,A,1,2,A,13,13,4,5,12,10,4,4,0,1,0,0,4.75,3.87,1.74,3,738023,Leverkusen,M'gladbach,4,0,H,2,0,H,13,11,6,6,9,11,7,3,4,2,0,0,2.32,3.62,2.95,1,738016,Union Berlin,Leverkusen,1,1,D,1,1,D,8,16,5,4,13,5,1,6,0,1,0,0,2.79,3.36,2.57,3,738029,Dortmund,Hoffenheim,3,2,H,0,0,D,23,9,13,5,9,12,4,7,2,3,0,0,1.44,5.23,6.51,3,738023,Freiburg,Dortmund,2,1,H,1,0,H,8,19,4,2,14,14,0,10,1,4,0,0,5.5,4.59,1.55,3,738016,Dortmund,Ein Frankfurt,5,2,H,3,1,H,12,12,7,3,5,14,7,3,0,0,0,0,1.44,5.17,6.49
4,1,738044,Union Berlin,Augsburg,0,0,0,0,0,0,1.73,3.94,4.69,3,738031,Union Berlin,M'gladbach,2,1,H,2,0,H,12,18,4,5,15,6,4,8,2,0,0,0,2.58,3.3,2.82,1,738024,Hoffenheim,Union Berlin,2,2,D,2,1,H,7,11,3,8,8,11,6,5,1,3,0,1,2.06,3.58,3.58,1,738016,Union Berlin,Leverkusen,1,1,D,1,1,D,8,16,5,4,13,5,1,6,0,1,0,0,2.79,3.36,2.57,0,738030,Augsburg,Leverkusen,1,4,A,1,2,A,13,13,4,5,12,10,4,4,0,1,0,0,4.75,3.87,1.74,1,738023,Ein Frankfurt,Augsburg,0,0,D,0,0,D,20,4,5,0,8,10,6,1,3,3,0,0,1.61,4.38,5.1,0,738016,Augsburg,Hoffenheim,0,4,A,0,1,A,7,15,0,8,8,9,6,5,1,2,0,0,3.19,3.68,2.17
5,0,738044,RB Leipzig,Bayern Munich,0,0,0,0,0,0,2.99,3.87,2.22,3,738031,Wolfsburg,RB Leipzig,1,0,H,0,0,D,8,12,2,2,13,18,7,7,4,2,0,0,3.46,3.55,2.11,3,738022,RB Leipzig,Stuttgart,4,0,H,1,0,H,26,11,11,5,10,11,6,2,0,3,0,0,1.42,4.98,7.24,3,738017,Mainz,RB Leipzig,1,0,H,1,0,H,7,15,2,2,10,8,5,11,1,2,0,0,8.07,5.44,1.35,3,738030,Bayern Munich,Hertha,5,0,H,2,0,H,17,8,6,3,4,5,8,3,0,0,0,0,1.18,7.96,14.67,3,738024,Bayern Munich,FC Koln,3,2,H,0,0,D,18,10,6,3,14,10,3,4,1,1,0,0,1.13,9.35,19.76,1,738015,M'gladbach,Bayern Munich,1,1,D,1,1,D,11,20,5,10,7,4,3,8,2,0,0,0,4.54,4.32,1.7
6,1,738045,Ein Frankfurt,Stuttgart,0,0,0,0,0,0,2.05,3.76,3.44,1,738030,Bielefeld,Ein Frankfurt,1,1,D,0,1,A,14,12,5,3,13,17,4,4,0,3,0,0,3.41,3.63,2.11,1,738023,Ein Frankfurt,Augsburg,0,0,D,0,0,D,20,4,5,0,8,10,6,1,3,3,0,0,1.61,4.38,5.1,3,738016,Dortmund,Ein Frankfurt,5,2,H,3,1,H,12,12,7,3,5,14,7,3,0,0,0,0,1.44,5.17,6.49,0,738030,Stuttgart,Freiburg,2,3,A,2,3,A,17,14,7,7,10,14,8,5,2,1,0,0,2.23,3.53,3.22,3,738022,RB Leipzig,Stuttgart,4,0,H,1,0,H,26,11,11,5,10,11,6,2,0,3,0,0,1.42,4.98,7.24,3,738016,Stuttgart,Greuther Furth,5,1,H,2,0,H,30,8,15,4,11,8,9,2,0,1,0,0,1.86,3.9,3.98
7,0,738045,Bochum,Hertha,0,0,0,0,0,0,2.78,3.35,2.58,3,738030,FC Koln,Bochum,2,1,H,0,0,D,21,10,5,1,11,21,5,5,2,1,0,0,1.88,3.73,4.11,3,738023,Bochum,Mainz,2,0,H,1,0,H,9,16,5,3,15,19,2,7,4,3,0,0,2.66,3.51,2.6,3,738016,Wolfsburg,Bochum,1,0,H,1,0,H,21,7,9,1,9,7,5,2,0,2,0,1,1.57,4.37,5.63,3,738030,Bayern Munich,Hertha,5,0,H,2,0,H,17,8,6,3,4,5,8,3,0,0,0,0,1.18,7.96,14.67,0,738023,Hertha,Wolfsburg,1,2,A,0,0,D,12,12,4,3,12,21,4,4,1,2,0,0,3.06,3.44,2.33,3,738017,FC Koln,Hertha,3,1,H,1,1,D,15,11,5,5,18,14,4,5,4,2,0,0,2.57,3.34,2.8
8,3,738045,M'gladbach,Bielefeld,0,0,0,0,0,0,1.46,4.68,6.86,3,738031,Union Berlin,M'gladbach,2,1,H,2,0,H,12,18,4,5,15,6,4,8,2,0,0,0,2.58,3.3,2.82,3,738023,Leverkusen,M'gladbach,4,0,H,2,0,H,13,11,6,6,9,11,7,3,4,2,0,0,2.32,3.62,2.95,1,738015,M'gladbach,Bayern Munich,1,1,D,1,1,D,11,20,5,10,7,4,3,8,2,0,0,0,4.54,4.32,1.7,1,738030,Bielefeld,Ein Frankfurt,1,1,D,0,1,A,14,12,5,3,13,17,4,4,0,3,0,0,3.41,3.63,2.11,1,738023,Greuther Furth,Bielefeld,1,1,D,0,1,A,20,9,5,2,12,15,5,0,4,2,0,1,2.57,3.39,2.77,1,738016,Bielefeld,Freiburg,0,0,D,0,0,D,10,14,4,6,13,10,4,9,3,4,0,0,2.92,3.27,2.52
9,3,738050,Hertha,Greuther Furth,0,0,0,0,0,0,1.81,3.75,4.51,0,738045,Bochum,Hertha,1,3,A,0,2,A,19,5,5,4,9,17,7,2,0,3,0,0,2.78,3.35,2.58,3,738030,Bayern Munich,Hertha,5,0,H,2,0,H,17,8,6,3,4,5,8,3,0,0,0,0,1.18,7.96,14.67,0,738023,Hertha,Wolfsburg,1,2,A,0,0,D,12,12,4,3,12,21,4,4,1,2,0,0,3.06,3.44,2.33,0,738044,Greuther Furth,Wolfsburg,0,2,A,0,1,A,7,10,3,4,17,15,3,5,2,3,0,0,5.52,4.29,1.59,3,738030,Mainz,Greuther Furth,3,0,H,2,0,H,17,8,9,1,21,14,7,4,2,2,0,0,1.71,3.97,4.9,1,738023,Greuther Furth,Bielefeld,1,1,D,0,1,A,20,9,5,2,12,15,5,0,4,2,0,1,2.57,3.39,2.77
